"Variable","Min.","Q1.25.","Med.","Vid.","Q3.75.","Maks.","Disp.","SdNuok.","VarK.","VarKKlase"
"RR_l_0","58","134","151","157.58","170","1174","3155.6257","56.175","35.6485","vidutine"
"RR_l_0/RR_l_1","0.0947","0.9704","1.0063","1.0793","1.0552","5.2785","0.1351","0.3676","34.0581","vidutine"
"RR_l_1","58","128","149","154.3309","169","1174","3340.3516","57.7958","37.4492","vidutine"
"RR_l_1/RR_l_2","0.0947","0.9568","1","1.0239","1.0377","5.2785","0.1323","0.3638","35.5307","vidutine"
"RR_l_2","58","136","152","158.9936","171","1174","3432.2149","58.5851","36.8475","vidutine"
"RR_l_2/RR_l_3","-8","0.9697","1.0066","1.0799","1.0571","5.2785","0.1484","0.3852","35.6722","vidutine"
"RR_l_3","0","127","149","155.3918","169","1174","3455.9044","58.7869","37.8314","vidutine"
"RR_l_3/RR_l_4","-3","0.96","1","1.0298","1.0391","5.2785","0.1317","0.3629","35.239","vidutine"
"RR_r_0","58","143","157","164.5195","175","1174","3150.7445","56.1315","34.1184","vidutine"
"RR_r_0/RR_r_1","0.0947","0.9799","1.0177","1.1374","1.2146","6","0.1634","0.4042","35.5381","vidutine"
"RR_r_1","58","122","148","154.2042","168","1174","3547.6233","59.5619","38.6254","vidutine"
"RR_r_1/RR_r_2","0","0.9576","1","1.0263","1.0352","5.2785","0.136","0.3687","35.9253","vidutine"
"RR_r_2","0","135","151","158.0215","171","1174","3353.5177","57.9096","36.6466","vidutine"
"RR_r_2/RR_r_3","0","0.9718","1.007","1.0883","1.0655","5.2785","0.1389","0.3727","34.2469","vidutine"
"RR_r_3","58","124","149","154.0276","169","1174","3572.1626","59.7676","38.8032","vidutine"
"RR_r_3/RR_r_4","0.0947","0.9545","1","1.0217","1.0367","5.2785","0.1393","0.3733","36.5332","vidutine"
"seq_size","100","186","207","211.0012","233","928","2208.0046","46.9894","22.2697","maza"
"signal_mean","-1.8296","-0.2717","-0.2058","-0.1996","-0.1297","1.3517","0.0205","0.1433","71.7869","didele"
"signal_std","0.0615","0.2182","0.2742","0.3364","0.4563","1.1376","0.0317","0.1781","52.9538","vidutine"
"wl_side","40","77","100","96.311","114","294","557.9029","23.62","24.5247","maza"
"wr_side","40","100","109","114.6902","122","821","1543.6882","39.2898","34.2573","vidutine"
"P_val","-1.6902","-0.2167","-0.1167","0.0641","0.2056","2.4969","0.2058","0.4536","708.1667","didele"
"Q_val","-2.7293","-0.5029","-0.3276","-0.3418","-0.1882","2.6585","0.1996","0.4467","130.6969","didele"
"R_val","-0.4569","0.8509","1.2502","1.3245","1.7729","3.1377","0.3525","0.5937","44.8231","vidutine"
"S_val","-2.6031","-0.5978","-0.4746","-0.4831","-0.3426","2.6991","0.2141","0.4627","95.7826","didele"
"T_val","-2.1801","-0.2026","-0.0055","0.0476","0.2361","2.8211","0.1646","0.4057","852.8411","didele"
"P_pos","0.055","0.325","0.355","0.3742","0.41","0.905","0.0102","0.101","26.9897","maza"
"Q_pos","0.01","0.435","0.465","0.4403","0.48","0.87","0.0102","0.1011","22.9676","maza"
"R_pos","0.06","0.49","0.5","0.492","0.515","0.965","0.0096","0.0979","19.8873","maza"
"S_pos","0.095","0.515","0.535","0.5454","0.58","0.995","0.0133","0.1152","21.1226","maza"
"T_pos","0.09","0.615","0.7","0.686","0.8","0.99","0.0214","0.1461","21.3004","maza"
