"Label","Variable","Min.","Q1.25.","Med.","Vid.","Q3.75.","Maks.","Disp.","SdNuok.","VarK.","VarKKlase"
"0","RR_l_0","72","140","158","154.1859","171","309","764.4722","27.6491","17.9323","maza"
"0","RR_l_0/RR_l_1","0.0947","0.9739","1","1.0177","1.0303","2.4955","0.0376","0.1938","19.044","maza"
"0","RR_l_1","67","140","157","154.3222","171","834","834.7037","28.8912","18.7214","maza"
"0","RR_l_1/RR_l_2","0.0947","0.974","1","1.0201","1.0309","5.2785","0.0419","0.2048","20.0756","maza"
"0","RR_l_2","67","140","157","154.1733","171","834","834.8735","28.8942","18.7414","maza"
"0","RR_l_2/RR_l_3","-8","0.9739","1","1.0153","1.0303","5.2785","0.0516","0.2272","22.376","maza"
"0","RR_l_3","0","140","157","154.4111","171","834","831.1664","28.83","18.6709","maza"
"0","RR_l_3/RR_l_4","-3","0.9742","1","1.0225","1.0311","5.2785","0.045","0.2122","20.7573","maza"
"0","RR_r_0","72","140","157","152.7015","170","238","657.8174","25.648","16.7961","maza"
"0","RR_r_0/RR_r_1","0.0947","0.9732","1","1.0121","1.0282","6","0.0403","0.2008","19.8434","maza"
"0","RR_r_1","72","139","157","153.9444","171","834","835.9888","28.9135","18.7818","maza"
"0","RR_r_1/RR_r_2","0","0.9737","1","1.0166","1.0303","5.2785","0.042","0.2049","20.1539","maza"
"0","RR_r_2","0","140","157","154.3603","171","834","849.892","29.1529","18.8863","maza"
"0","RR_r_2/RR_r_3","0","0.9737","1","1.0207","1.0303","5.2785","0.0418","0.2044","20.0239","maza"
"0","RR_r_3","67","140","157","154.0517","171","834","833.9653","28.8785","18.746","maza"
"0","RR_r_3/RR_r_4","0.0947","0.9738","1","1.0191","1.0305","5.2785","0.042","0.2048","20.0992","maza"
"0","seq_size","133","196","221","215.3217","238","333","1065.0394","32.6349","15.1564","maza"
"0","signal_mean","-1.8296","-0.2887","-0.2331","-0.2227","-0.1706","0.7124","0.0173","0.1316","59.0953","vidutine"
"0","signal_std","0.1143","0.2393","0.2669","0.3019","0.3556","0.9392","0.0151","0.1228","40.6722","vidutine"
"0","wl_side","66","98","110","108.91","119","216","333.2353","18.2547","16.7613","maza"
"0","wr_side","50","98","109","106.4117","118","166","321.3843","17.9272","16.847","maza"
"0","P_val","-1.6902","-0.2443","-0.1657","-0.1117","-0.0642","2.4969","0.0846","0.2909","260.5433","didele"
"0","Q_val","-2.2519","-0.528","-0.439","-0.4158","-0.2965","0.6244","0.0302","0.1739","41.8189","vidutine"
"0","R_val","0.2757","1.1949","1.5762","1.5606","1.8752","3.0745","0.2019","0.4494","28.7931","maza"
"0","S_val","-2.429","-0.5852","-0.4879","-0.5352","-0.4109","0.5506","0.0683","0.2614","48.8434","vidutine"
"0","T_val","-2.1801","-0.23","-0.1139","-0.0428","0.1517","1.9609","0.0815","0.2855","666.8506","didele"
"0","P_pos","0.08","0.335","0.35","0.3629","0.385","0.77","0.0035","0.0595","16.3857","maza"
"0","Q_pos","0.085","0.46","0.47","0.4743","0.48","0.855","0.0041","0.0641","13.505","maza"
"0","R_pos","0.13","0.495","0.505","0.5091","0.51","0.88","0.0041","0.0643","12.6221","maza"
"0","S_pos","0.16","0.525","0.535","0.5532","0.575","0.96","0.0056","0.0746","13.4754","maza"
