Klasteris,Variable,Minimumas,Q1,Mediana,Vidurkis,Q3,Maksimumas,Dispersija
-1,signal_std,0.0037,0.1305,0.1937,0.2411,0.3266,0.75,0.0252
-1,wl_side,0.0,0.2197,0.4015,0.3988,0.5152,1.0,0.0404
-1,R_val,0.0639,0.3011,0.4499,0.4428,0.5603,0.9653,0.0309
-1,RR_r_0.RR_r_1,0.045,0.2424,0.2573,0.2974,0.3488,1.0,0.0183
-1,P_val,0.0,0.2442,0.2782,0.3237,0.3741,0.8445,0.0179
-1,Q_val,0.0944,0.5475,0.5926,0.5891,0.6168,1.0,0.0071
-1,label,0.0,0.0,1.0,0.9276,2.0,2.0,0.6891
0,signal_std,0.1701,0.1796,0.1865,0.1867,0.1925,0.2094,0.0001
0,wl_side,0.5227,0.5758,0.5985,0.5981,0.6212,0.6591,0.0009
0,R_val,0.5673,0.5889,0.6079,0.6096,0.6274,0.6666,0.0005
0,RR_r_0.RR_r_1,0.2204,0.2438,0.2486,0.2502,0.258,0.2724,0.0001
0,P_val,0.1911,0.2161,0.2261,0.2264,0.2365,0.2541,0.0002
0,Q_val,0.4997,0.5216,0.5284,0.5289,0.539,0.5578,0.0002
0,label,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,signal_std,0.1389,0.173,0.1801,0.1797,0.1871,0.2141,0.0002
1,wl_side,0.4091,0.4318,0.447,0.4491,0.464,0.5076,0.0006
1,R_val,0.3917,0.4221,0.4338,0.436,0.4491,0.4815,0.0004
1,RR_r_0.RR_r_1,0.2297,0.2409,0.2448,0.2471,0.2547,0.2685,0.0001
1,P_val,0.2477,0.2669,0.2841,0.2837,0.3019,0.3279,0.0004
1,Q_val,0.495,0.5688,0.5836,0.5801,0.5899,0.6121,0.0003
1,label,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,signal_std,0.0625,0.0736,0.0796,0.082,0.0887,0.1181,0.0001
2,wl_side,0.4697,0.5227,0.5455,0.5455,0.5644,0.6288,0.001
2,R_val,0.269,0.3204,0.3522,0.3499,0.3724,0.4205,0.0012
2,RR_r_0.RR_r_1,0.2287,0.2415,0.2486,0.2484,0.2543,0.2675,0.0001
2,P_val,0.2119,0.2357,0.2484,0.2465,0.2577,0.2763,0.0002
2,Q_val,0.5004,0.5214,0.5282,0.5295,0.5391,0.5627,0.0002
2,label,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,signal_std,0.3526,0.3901,0.4119,0.4177,0.4274,0.5601,0.002
3,wl_side,0.1136,0.2652,0.2803,0.2823,0.2955,0.447,0.0023
3,R_val,0.5409,0.6709,0.7145,0.7205,0.769,0.8738,0.0061
3,RR_r_0.RR_r_1,0.1084,0.2389,0.2461,0.2473,0.2542,0.3439,0.0009
3,P_val,0.1476,0.2068,0.2683,0.2679,0.3145,0.4383,0.0052
3,Q_val,0.4483,0.4981,0.5381,0.5391,0.5797,0.659,0.0027
3,label,0.0,0.0,0.0,0.1897,0.0,2.0,0.2967
4,signal_std,0.2634,0.2822,0.2945,0.2949,0.3108,0.3221,0.0003
4,wl_side,0.4621,0.4962,0.5492,0.5527,0.589,0.6667,0.0035
4,R_val,0.6089,0.6466,0.681,0.6815,0.7009,0.761,0.0018
4,RR_r_0.RR_r_1,0.2216,0.2401,0.2469,0.2472,0.2536,0.2743,0.0002
4,P_val,0.199,0.2509,0.2663,0.2674,0.2838,0.3578,0.0011
4,Q_val,0.5653,0.5864,0.6027,0.6005,0.6158,0.6389,0.0004
4,label,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,signal_std,0.5144,0.5768,0.6135,0.6128,0.6433,0.7134,0.0035
5,wl_side,0.8333,0.8636,0.875,0.8745,0.8845,0.9242,0.0005
5,R_val,0.7923,0.8514,0.885,0.8799,0.9034,0.9623,0.0032
5,RR_r_0.RR_r_1,0.2002,0.2378,0.2486,0.283,0.2546,0.5477,0.0126
5,P_val,0.6724,0.7119,0.8254,0.8116,0.8822,1.0,0.0114
5,Q_val,0.4628,0.512,0.5389,0.5394,0.555,0.6373,0.0023
5,label,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,signal_std,0.2689,0.2817,0.3004,0.3002,0.32,0.3348,0.0005
6,wl_side,0.4318,0.4602,0.5227,0.5126,0.553,0.5909,0.0033
6,R_val,0.6125,0.6659,0.6995,0.6912,0.7099,0.7607,0.0015
6,RR_r_0.RR_r_1,0.2197,0.2254,0.2426,0.251,0.2582,0.3484,0.0012
6,P_val,0.3642,0.3944,0.4149,0.4148,0.4366,0.4588,0.0008
6,Q_val,0.5923,0.5941,0.6142,0.6163,0.6247,0.6786,0.0006
6,label,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,signal_std,0.1506,0.1573,0.1635,0.1623,0.1674,0.1706,0.0
7,wl_side,0.5909,0.5985,0.6136,0.611,0.6212,0.6364,0.0002
7,R_val,0.5078,0.5355,0.5507,0.5473,0.5613,0.5745,0.0003
7,RR_r_0.RR_r_1,0.2271,0.2405,0.2453,0.2445,0.2486,0.2601,0.0001
7,P_val,0.2112,0.2236,0.2336,0.2329,0.2424,0.2524,0.0001
7,Q_val,0.5255,0.534,0.5385,0.541,0.5403,0.5681,0.0001
7,label,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,signal_std,0.139,0.1467,0.1523,0.156,0.1648,0.1779,0.0002
8,wl_side,0.6591,0.6667,0.6818,0.6824,0.6913,0.7197,0.0003
8,R_val,0.4978,0.5018,0.5392,0.5323,0.5542,0.5673,0.0008
8,RR_r_0.RR_r_1,0.2381,0.2551,0.2589,0.2615,0.2644,0.2907,0.0002
8,P_val,0.2006,0.2171,0.2194,0.2247,0.2328,0.2576,0.0002
8,Q_val,0.5127,0.5301,0.5344,0.5373,0.5375,0.5882,0.0003
8,label,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,signal_std,0.0332,0.0625,0.0741,0.0728,0.0834,0.1004,0.0002
9,wl_side,0.3485,0.4394,0.4621,0.4608,0.4924,0.5227,0.0012
9,R_val,0.1158,0.1979,0.2303,0.2261,0.2572,0.2933,0.0017
9,RR_r_0.RR_r_1,0.0,0.0508,0.0712,0.0668,0.0781,0.1492,0.0007
9,P_val,0.2224,0.2423,0.2647,0.2656,0.2865,0.3311,0.0008
9,Q_val,0.5839,0.5956,0.6104,0.6134,0.6282,0.6548,0.0004
9,label,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10,signal_std,0.0544,0.0691,0.0764,0.0756,0.081,0.1015,0.0001
10,wl_side,0.4545,0.4697,0.4773,0.48,0.4924,0.5076,0.0002
10,R_val,0.1693,0.19,0.1986,0.1979,0.206,0.2206,0.0001
10,RR_r_0.RR_r_1,0.2317,0.243,0.2467,0.2477,0.2526,0.2683,0.0001
10,P_val,0.1979,0.2289,0.2378,0.2394,0.252,0.2839,0.0003
10,Q_val,0.5657,0.5822,0.5934,0.592,0.6019,0.6187,0.0002
10,label,1.0,1.0,1.0,1.0,1.0,1.0,0.0
11,signal_std,0.0065,0.0291,0.0386,0.0381,0.0466,0.0702,0.0002
11,wl_side,0.3636,0.4545,0.4697,0.4676,0.4886,0.5076,0.0007
11,R_val,0.1054,0.17,0.1899,0.1933,0.224,0.273,0.0015
11,RR_r_0.RR_r_1,0.4853,0.6525,0.7107,0.6918,0.7476,0.909,0.008
11,P_val,0.1652,0.2419,0.2618,0.2646,0.2857,0.3426,0.0011
11,Q_val,0.5285,0.5993,0.6123,0.6134,0.628,0.6777,0.0006
11,label,1.0,1.0,1.0,1.0,1.0,1.0,0.0
12,signal_std,0.1471,0.2154,0.2702,0.2649,0.3032,0.3663,0.0029
12,wl_side,0.1364,0.1894,0.2045,0.2001,0.2197,0.2803,0.0007
12,R_val,0.3551,0.4068,0.4311,0.4329,0.4614,0.5495,0.0016
12,RR_r_0.RR_r_1,0.1592,0.2592,0.2874,0.299,0.3414,0.4074,0.0033
12,P_val,0.1911,0.2428,0.2493,0.2569,0.2733,0.3038,0.0006
12,Q_val,0.5592,0.5888,0.5927,0.5981,0.6097,0.642,0.0003
12,label,1.0,1.0,2.0,1.7317,2.0,2.0,0.2012
13,signal_std,0.0597,0.077,0.0835,0.083,0.0907,0.1074,0.0001
13,wl_side,0.4167,0.4545,0.4697,0.4667,0.4848,0.5076,0.0006
13,R_val,0.231,0.2721,0.2946,0.2949,0.3105,0.3889,0.001
13,RR_r_0.RR_r_1,0.2338,0.2429,0.2477,0.2483,0.2545,0.2608,0.0
13,P_val,0.2691,0.2888,0.3042,0.3024,0.3126,0.3397,0.0004
13,Q_val,0.6216,0.6327,0.6445,0.6443,0.653,0.6754,0.0002
13,label,1.0,1.0,1.0,1.0,1.0,1.0,0.0
14,signal_std,0.0015,0.0616,0.0719,0.0785,0.1098,0.1584,0.0014
14,wl_side,0.0682,0.1818,0.1894,0.2032,0.2367,0.3561,0.0034
14,R_val,0.1264,0.2027,0.2775,0.2611,0.3154,0.3906,0.0051
14,RR_r_0.RR_r_1,0.5136,0.5649,0.6064,0.6037,0.6381,0.7023,0.0026
14,P_val,0.1465,0.2297,0.2729,0.2705,0.3064,0.3699,0.0034
14,Q_val,0.5241,0.5895,0.6062,0.6062,0.6296,0.678,0.0018
14,label,1.0,1.0,1.0,1.0714,1.0,2.0,0.0688
15,signal_std,0.0456,0.0545,0.0599,0.0603,0.0655,0.0723,0.0001
15,wl_side,0.4015,0.4545,0.4697,0.4641,0.4773,0.5076,0.0007
15,R_val,0.0859,0.135,0.1516,0.1462,0.1601,0.1842,0.0006
15,RR_r_0.RR_r_1,0.2369,0.2447,0.2486,0.2485,0.2525,0.2648,0.0
15,P_val,0.2052,0.2308,0.2401,0.2384,0.2482,0.2615,0.0002
15,Q_val,0.5649,0.587,0.5966,0.5938,0.601,0.6077,0.0001
15,label,1.0,1.0,1.0,1.0,1.0,1.0,0.0
16,signal_std,0.0673,0.0794,0.0848,0.0854,0.0909,0.11,0.0001
16,wl_side,0.4167,0.4545,0.4697,0.4656,0.4773,0.5,0.0004
16,R_val,0.2208,0.2296,0.2466,0.2461,0.2602,0.2737,0.0003
16,RR_r_0.RR_r_1,0.237,0.2448,0.2486,0.2486,0.2525,0.2628,0.0
16,P_val,0.2295,0.2469,0.2514,0.2532,0.2599,0.2752,0.0001
16,Q_val,0.5872,0.5994,0.6068,0.6055,0.6112,0.619,0.0001
16,label,1.0,1.0,1.0,1.0,1.0,1.0,0.0
17,signal_std,0.0435,0.07,0.1024,0.1132,0.1467,0.2149,0.0029
17,wl_side,0.0909,0.1856,0.2045,0.2125,0.2538,0.2955,0.0029
17,R_val,0.1741,0.2488,0.274,0.2678,0.3016,0.3557,0.0024
17,RR_r_0.RR_r_1,0.0721,0.0879,0.1298,0.1294,0.1609,0.2102,0.0022
17,P_val,0.1472,0.2024,0.2391,0.2462,0.2795,0.3255,0.0029
17,Q_val,0.5187,0.5536,0.5833,0.5804,0.6085,0.6416,0.0013
17,label,1.0,1.0,1.0,1.1579,1.0,2.0,0.1404
18,signal_std,0.0372,0.0491,0.0502,0.0516,0.056,0.0659,0.0001
18,wl_side,0.4242,0.4394,0.4621,0.4563,0.4621,0.4848,0.0003
18,R_val,0.1531,0.1696,0.1793,0.1769,0.1854,0.1926,0.0001
18,RR_r_0.RR_r_1,0.2368,0.2409,0.2486,0.2471,0.2506,0.2567,0.0
18,P_val,0.2639,0.2748,0.2769,0.2804,0.2863,0.3002,0.0001
18,Q_val,0.6098,0.6148,0.6224,0.6246,0.6301,0.6471,0.0001
18,label,1.0,1.0,1.0,1.0,1.0,1.0,0.0
19,signal_std,0.0499,0.0556,0.0651,0.0634,0.0691,0.0768,0.0001
19,wl_side,0.4015,0.4015,0.4091,0.4125,0.4205,0.4318,0.0001
19,R_val,0.1718,0.1875,0.2008,0.195,0.2028,0.2037,0.0001
19,RR_r_0.RR_r_1,0.2429,0.2506,0.2547,0.2527,0.2564,0.2584,0.0
19,P_val,0.2424,0.2553,0.2593,0.2665,0.2774,0.3032,0.0003
19,Q_val,0.5872,0.6003,0.6057,0.6097,0.6176,0.649,0.0003
19,label,1.0,1.0,1.0,1.0,1.0,1.0,0.0
20,signal_std,0.0,0.03,0.0652,0.0714,0.1237,0.1449,0.0024
20,wl_side,0.0379,0.0985,0.1364,0.1404,0.1667,0.2652,0.0048
20,R_val,0.0,0.0974,0.1261,0.1307,0.156,0.2399,0.0035
20,RR_r_0.RR_r_1,0.1513,0.2473,0.2738,0.2688,0.3146,0.3384,0.0035
20,P_val,0.1774,0.2354,0.2568,0.2523,0.2736,0.3734,0.0023
20,Q_val,0.3704,0.5383,0.5861,0.5628,0.6054,0.6276,0.0045
20,label,1.0,1.0,1.0,1.4118,2.0,2.0,0.2574
21,signal_std,0.0371,0.0547,0.0696,0.0785,0.0996,0.1304,0.001
21,wl_side,0.1667,0.1894,0.2121,0.2191,0.2443,0.2803,0.0017
21,R_val,0.2429,0.2505,0.2774,0.2846,0.3002,0.3843,0.0019
21,RR_r_0.RR_r_1,0.3915,0.4112,0.4226,0.4329,0.4558,0.4827,0.0009
21,P_val,0.2325,0.2383,0.2646,0.2656,0.2809,0.3398,0.001
21,Q_val,0.5493,0.5779,0.5834,0.5939,0.6072,0.6587,0.001
21,label,1.0,1.0,1.0,1.0833,1.0,2.0,0.0833
22,signal_std,0.2337,0.2945,0.3289,0.3278,0.361,0.3939,0.0017
22,wl_side,0.1364,0.1742,0.2008,0.2024,0.2348,0.2652,0.0011
22,R_val,0.308,0.4267,0.4662,0.4908,0.582,0.6356,0.0075
22,RR_r_0.RR_r_1,0.1555,0.2796,0.305,0.2998,0.3262,0.4058,0.0029
22,P_val,0.3944,0.5053,0.5318,0.5346,0.5629,0.7139,0.0036
22,Q_val,0.5071,0.5864,0.6058,0.6052,0.6248,0.6966,0.0011
22,label,2.0,2.0,2.0,2.0,2.0,2.0,0.0
23,signal_std,0.2744,0.3621,0.4313,0.4405,0.5158,0.5926,0.007
23,wl_side,0.0682,0.125,0.25,0.2264,0.2917,0.5682,0.0091
23,R_val,0.0949,0.2554,0.2784,0.2884,0.3128,0.4756,0.0042
23,RR_r_0.RR_r_1,0.2089,0.3331,0.3853,0.39,0.4274,0.6679,0.0067
23,P_val,0.2008,0.4529,0.4729,0.477,0.5096,0.652,0.0047
23,Q_val,0.0,0.1247,0.1542,0.1585,0.2013,0.3012,0.0034
23,label,2.0,2.0,2.0,2.0,2.0,2.0,0.0
24,signal_std,0.6459,0.8237,0.8678,0.8557,0.901,1.0,0.0048
24,wl_side,0.1667,0.2197,0.2576,0.251,0.2955,0.3106,0.0019
24,R_val,0.7162,0.852,0.8929,0.885,0.9291,1.0,0.0045
24,RR_r_0.RR_r_1,0.1005,0.1327,0.2596,0.2294,0.2872,0.3398,0.006
24,P_val,0.4796,0.6299,0.6754,0.6865,0.7498,0.9252,0.0109
24,Q_val,0.4342,0.5113,0.5456,0.5553,0.6016,0.6922,0.0041
24,label,0.0,2.0,2.0,1.9459,2.0,2.0,0.1081
25,signal_std,0.4457,0.5087,0.5319,0.5301,0.5486,0.6087,0.0008
25,wl_side,0.0682,0.1136,0.1212,0.1148,0.1212,0.1364,0.0003
25,R_val,0.1698,0.2733,0.2992,0.3065,0.3407,0.4573,0.0025
25,RR_r_0.RR_r_1,0.1581,0.3274,0.3391,0.3701,0.4054,0.5417,0.0054
25,P_val,0.3831,0.4727,0.4954,0.5012,0.5319,0.6327,0.0023
25,Q_val,0.6398,0.7062,0.7257,0.7322,0.7501,0.8546,0.0021
25,label,2.0,2.0,2.0,2.0,2.0,2.0,0.0
26,signal_std,0.332,0.3717,0.4065,0.4098,0.4521,0.5082,0.0023
26,wl_side,0.2045,0.2424,0.2727,0.2765,0.303,0.3788,0.0018
26,R_val,0.1904,0.2567,0.2794,0.2793,0.3068,0.3535,0.0012
26,RR_r_0.RR_r_1,0.2596,0.3474,0.3875,0.3937,0.4415,0.5647,0.0048
26,P_val,0.3632,0.4578,0.4788,0.4799,0.506,0.5672,0.0015
26,Q_val,0.6935,0.7628,0.7951,0.7901,0.8171,0.8527,0.0016
26,label,2.0,2.0,2.0,2.0,2.0,2.0,0.0
27,signal_std,0.3459,0.3916,0.4177,0.4168,0.4351,0.5642,0.0015
27,wl_side,0.1061,0.2803,0.3182,0.3234,0.3485,0.4545,0.005
27,R_val,0.6312,0.6931,0.7468,0.7472,0.7969,0.8668,0.004
27,RR_r_0.RR_r_1,0.3455,0.4844,0.5291,0.5215,0.5481,0.6912,0.0041
27,P_val,0.5335,0.6219,0.6635,0.6585,0.6916,0.764,0.0025
27,Q_val,0.5265,0.5608,0.5729,0.5797,0.5963,0.6739,0.0009
27,label,2.0,2.0,2.0,2.0,2.0,2.0,0.0
28,signal_std,0.2119,0.2336,0.2531,0.2597,0.2852,0.322,0.0012
28,wl_side,0.2045,0.2538,0.3182,0.3182,0.3712,0.4848,0.0062
28,R_val,0.1334,0.1819,0.2007,0.1983,0.2151,0.2891,0.0014
28,RR_r_0.RR_r_1,0.2595,0.3182,0.3423,0.3366,0.358,0.4068,0.0014
28,P_val,0.3359,0.3948,0.4265,0.42,0.4419,0.5143,0.0019
28,Q_val,0.7085,0.737,0.7556,0.7572,0.7722,0.8146,0.0008
28,label,2.0,2.0,2.0,2.0,2.0,2.0,0.0
