Klasteris,Variable,Minimumas,Q1,Mediana,Vidurkis,Q3,Maksimumas,Dispersija
0,signal_std,0.23,0.37,0.41,0.48,0.52,1.0,0.03
0,wl_side,0.11,0.21,0.27,0.3,0.3,0.92,0.03
0,R_val,0.22,0.58,0.7,0.69,0.82,1.0,0.03
0,RR_r_0.RR_r_1,0.07,0.24,0.29,0.31,0.35,0.69,0.02
0,P_val,0.01,0.41,0.55,0.53,0.67,1.0,0.04
0,Q_val,0.32,0.53,0.57,0.57,0.61,0.74,0.0
1,signal_std,0.13,0.18,0.19,0.22,0.27,0.36,0.0
1,wl_side,0.28,0.42,0.45,0.46,0.51,0.67,0.01
1,R_val,0.36,0.43,0.46,0.52,0.62,0.77,0.01
1,RR_r_0.RR_r_1,0.04,0.24,0.24,0.23,0.25,0.42,0.0
1,P_val,0.19,0.27,0.29,0.3,0.32,0.48,0.0
1,Q_val,0.49,0.57,0.59,0.59,0.6,0.68,0.0
2,signal_std,0.21,0.38,0.47,0.45,0.54,0.63,0.01
2,wl_side,0.07,0.12,0.23,0.22,0.3,0.48,0.01
2,R_val,0.13,0.26,0.29,0.31,0.33,0.62,0.01
2,RR_r_0.RR_r_1,0.09,0.33,0.37,0.38,0.42,0.62,0.01
2,P_val,0.34,0.45,0.49,0.49,0.53,0.71,0.0
2,Q_val,0.47,0.71,0.76,0.76,0.81,1.0,0.01
3,signal_std,0.02,0.06,0.08,0.08,0.09,0.23,0.0
3,wl_side,0.34,0.45,0.47,0.47,0.48,0.58,0.0
3,R_val,0.06,0.19,0.22,0.22,0.26,0.39,0.0
3,RR_r_0.RR_r_1,0.16,0.24,0.25,0.25,0.25,0.43,0.0
3,P_val,0.19,0.24,0.26,0.26,0.28,0.44,0.0
3,Q_val,0.53,0.6,0.61,0.61,0.63,0.71,0.0
4,signal_std,0.0,0.08,0.15,0.19,0.26,0.75,0.02
4,wl_side,0.0,0.15,0.2,0.2,0.23,0.39,0.0
4,R_val,0.0,0.25,0.34,0.34,0.43,0.64,0.02
4,RR_r_0.RR_r_1,0.06,0.26,0.34,0.37,0.5,0.92,0.03
4,P_val,0.1,0.24,0.26,0.27,0.29,0.49,0.0
4,Q_val,0.37,0.58,0.6,0.59,0.62,0.77,0.0
5,signal_std,0.21,0.36,0.42,0.43,0.51,0.63,0.01
5,wl_side,0.07,0.13,0.25,0.23,0.3,0.57,0.01
5,R_val,0.09,0.25,0.28,0.29,0.32,0.56,0.01
5,RR_r_0.RR_r_1,0.16,0.32,0.38,0.38,0.43,0.67,0.01
5,P_val,0.2,0.45,0.47,0.48,0.51,0.67,0.01
5,Q_val,0.0,0.12,0.16,0.17,0.2,0.39,0.01
6,signal_std,0.13,0.17,0.18,0.2,0.19,0.57,0.01
6,wl_side,0.52,0.59,0.62,0.64,0.67,1.0,0.01
6,R_val,0.44,0.56,0.6,0.6,0.63,0.9,0.01
6,RR_r_0.RR_r_1,0.12,0.24,0.25,0.25,0.26,0.53,0.0
6,P_val,0.0,0.22,0.23,0.23,0.25,0.43,0.0
6,Q_val,0.37,0.52,0.54,0.54,0.55,0.62,0.0
7,signal_std,0.06,0.07,0.08,0.09,0.09,0.15,0.0
7,wl_side,0.47,0.52,0.55,0.55,0.57,0.74,0.0
7,R_val,0.27,0.33,0.36,0.36,0.38,0.45,0.0
7,RR_r_0.RR_r_1,0.14,0.24,0.25,0.25,0.26,0.36,0.0
7,P_val,0.21,0.24,0.25,0.25,0.26,0.29,0.0
7,Q_val,0.5,0.52,0.53,0.53,0.54,0.58,0.0
8,signal_std,0.0,0.03,0.04,0.04,0.05,0.11,0.0
8,wl_side,0.36,0.45,0.47,0.47,0.49,0.51,0.0
8,R_val,0.1,0.17,0.19,0.19,0.23,0.27,0.0
8,RR_r_0.RR_r_1,0.47,0.65,0.71,0.7,0.75,1.0,0.01
8,P_val,0.17,0.24,0.26,0.26,0.29,0.34,0.0
8,Q_val,0.53,0.6,0.61,0.61,0.63,0.68,0.0
9,signal_std,0.03,0.06,0.08,0.07,0.08,0.12,0.0
9,wl_side,0.27,0.44,0.46,0.46,0.49,0.52,0.0
9,R_val,0.12,0.2,0.23,0.23,0.26,0.29,0.0
9,RR_r_0.RR_r_1,0.0,0.05,0.07,0.07,0.08,0.16,0.0
9,P_val,0.22,0.24,0.27,0.27,0.29,0.41,0.0
9,Q_val,0.58,0.6,0.61,0.62,0.63,0.74,0.0
