Klasteris,Variable,Minimumas,Q1,Mediana,Vidurkis,Q3,Maksimumas,Dispersija
0,signal_std,0.0037,0.0289,0.0383,0.0383,0.0467,0.1126,0.0003
0,wl_side,0.3636,0.4545,0.4697,0.4668,0.4905,0.5076,0.0008
0,R_val,0.0985,0.1698,0.19,0.1933,0.2261,0.273,0.0016
0,RR_r_0.RR_r_1,0.467,0.6502,0.7113,0.6963,0.7489,1.0,0.0105
0,P_val,0.1652,0.2417,0.2616,0.2644,0.2858,0.3426,0.0011
0,Q_val,0.5285,0.5992,0.6123,0.6131,0.628,0.6777,0.0007
0,label,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,signal_std,0.2337,0.3676,0.4071,0.475,0.5178,1.0,0.0331
1,wl_side,0.1061,0.2102,0.2727,0.2977,0.303,0.9242,0.0251
1,R_val,0.2229,0.5832,0.7039,0.6872,0.817,1.0,0.0278
1,RR_r_0.RR_r_1,0.073,0.2436,0.2852,0.3108,0.3502,0.6912,0.0154
1,P_val,0.01,0.4129,0.5481,0.5339,0.6723,1.0,0.0364
1,Q_val,0.317,0.5283,0.5733,0.5674,0.6072,0.7437,0.0038
1,label,0.0,0.0,2.0,1.418,2.0,2.0,0.8122
2,signal_std,0.1333,0.1724,0.1844,0.1884,0.1992,0.3329,0.0009
2,wl_side,0.2803,0.4091,0.4394,0.4341,0.4621,0.5606,0.0024
2,R_val,0.3615,0.423,0.4433,0.4597,0.4757,0.6995,0.0036
2,RR_r_0.RR_r_1,0.051,0.2382,0.2448,0.2387,0.2547,0.377,0.002
2,P_val,0.1857,0.2676,0.288,0.295,0.3097,0.4845,0.0022
2,Q_val,0.4909,0.568,0.5842,0.5826,0.5953,0.6713,0.0008
2,label,0.0,0.0,0.0,0.0469,0.0,1.0,0.045
3,signal_std,0.0178,0.0633,0.0759,0.076,0.0861,0.2333,0.0006
3,wl_side,0.3409,0.4545,0.4697,0.4663,0.4848,0.5758,0.0009
3,R_val,0.0639,0.1864,0.2197,0.2209,0.2557,0.3889,0.0028
3,RR_r_0.RR_r_1,0.1599,0.2429,0.2486,0.2514,0.2545,0.425,0.0007
3,P_val,0.1938,0.2421,0.2599,0.2647,0.2826,0.437,0.0012
3,Q_val,0.5291,0.5965,0.609,0.6119,0.6275,0.7109,0.0006
3,label,1.0,1.0,1.0,1.0173,1.0,2.0,0.0171
4,signal_std,0.128,0.1719,0.1877,0.2205,0.2734,0.5703,0.0059
4,wl_side,0.4318,0.5758,0.6136,0.6213,0.6496,1.0,0.0088
4,R_val,0.4426,0.5673,0.6081,0.616,0.6525,0.896,0.0057
4,RR_r_0.RR_r_1,0.045,0.2422,0.2486,0.2469,0.259,0.5266,0.0025
4,P_val,0.0,0.2193,0.2357,0.2489,0.2575,0.4588,0.0037
4,Q_val,0.3739,0.5262,0.5402,0.5511,0.5815,0.6786,0.0016
4,label,0.0,0.0,0.0,0.0225,0.0,2.0,0.0312
5,signal_std,0.2119,0.383,0.4705,0.4537,0.5361,0.6257,0.0095
5,wl_side,0.0682,0.1212,0.2348,0.2174,0.2955,0.4848,0.0091
5,R_val,0.1334,0.2571,0.2909,0.3055,0.3319,0.6232,0.0072
5,RR_r_0.RR_r_1,0.0909,0.3299,0.3665,0.3815,0.4225,0.6242,0.0066
5,P_val,0.3359,0.4516,0.487,0.4916,0.5303,0.7056,0.0038
5,Q_val,0.4669,0.7133,0.7557,0.7574,0.8071,1.0,0.0054
5,label,2.0,2.0,2.0,2.0,2.0,2.0,0.0
6,signal_std,0.0,0.0823,0.1489,0.1874,0.2632,0.75,0.0187
6,wl_side,0.0,0.1515,0.197,0.1956,0.2273,0.3864,0.0049
6,R_val,0.0,0.2503,0.3352,0.3365,0.4304,0.6445,0.0154
6,RR_r_0.RR_r_1,0.0588,0.2598,0.3389,0.3671,0.4957,0.9246,0.0274
6,P_val,0.1012,0.2351,0.2624,0.2679,0.2923,0.4938,0.0035
6,Q_val,0.3704,0.5759,0.5979,0.5931,0.6156,0.7698,0.0026
6,label,0.0,1.0,1.0,1.4171,2.0,2.0,0.2538
7,signal_std,0.2116,0.3556,0.4236,0.4337,0.5149,0.6293,0.0088
7,wl_side,0.0682,0.1288,0.2462,0.2279,0.2955,0.5682,0.009
7,R_val,0.0949,0.2461,0.2782,0.2882,0.3151,0.5565,0.0055
7,RR_r_0.RR_r_1,0.1634,0.3236,0.3792,0.3815,0.4262,0.6679,0.0076
7,P_val,0.2008,0.4483,0.4729,0.4769,0.5096,0.6737,0.0052
7,Q_val,0.0,0.1248,0.1559,0.1693,0.204,0.3912,0.0056
7,label,2.0,2.0,2.0,2.0,2.0,2.0,0.0
8,signal_std,0.0332,0.0626,0.0757,0.0738,0.0839,0.1155,0.0002
8,wl_side,0.2727,0.4394,0.4621,0.4577,0.4924,0.5227,0.0017
8,R_val,0.1158,0.1966,0.2303,0.2256,0.2567,0.2933,0.0017
8,RR_r_0.RR_r_1,0.0,0.0513,0.0716,0.0685,0.0786,0.1614,0.0008
8,P_val,0.2224,0.2425,0.265,0.2685,0.2883,0.412,0.0011
8,Q_val,0.5839,0.5957,0.6119,0.6159,0.6288,0.7397,0.0006
8,label,1.0,1.0,1.0,1.0164,1.0,2.0,0.0164
9,signal_std,0.0625,0.0737,0.0803,0.0865,0.093,0.1455,0.0003
9,wl_side,0.4697,0.5227,0.5455,0.5478,0.5682,0.7424,0.0019
9,R_val,0.269,0.3293,0.3593,0.3577,0.3837,0.4493,0.0015
9,RR_r_0.RR_r_1,0.1391,0.2415,0.2486,0.2485,0.2556,0.3558,0.0003
9,P_val,0.2119,0.2372,0.2492,0.2479,0.2578,0.2883,0.0002
9,Q_val,0.5004,0.5224,0.5328,0.5321,0.5408,0.5783,0.0002
9,label,0.0,0.0,0.0,0.0112,0.0,1.0,0.0112
