empirinis (k=76): orig=0.077, tsne=0.075
alkunes (k=6): orig=0.432, tsne=0.560
silueto (k=3): orig=0.420, tsne=0.556
dendograma (k=9): orig=0.322, tsne=0.476
empirinis (k=76): orig=0.097, tsne=0.144
alkunes (k=6): orig=0.438, tsne=0.473
silueto (k=3): orig=0.409, tsne=0.425
dendograma (k=9): orig=0.432, tsne=0.499
empirinis (k=76): orig=0.224, tsne=0.288
alkunes (k=6): orig=0.285, tsne=0.222
empirinis (k=76): orig=0.215, tsne=0.319
alkunes (k=6): orig=0.229, tsne=0.243
silueto (k=3): orig=0.320, tsne=0.264
dendograma (k=9): orig=0.258, tsne=0.243
