Var1,Var2,Correlation,p-value
signal_std,wl_side,-0.3803504904541939,0.0
signal_std,R_val,0.8084988783892496,0.0
signal_std,RR_r_0/RR_r_1,-0.16153317036181447,0.00056
signal_std,P_val,0.19843589511944257,2e-05
signal_std,Q_val,0.13024521306480932,0.0055
wl_side,R_val,0.02450265316586223,0.60296
wl_side,RR_r_0/RR_r_1,0.1964562759439923,3e-05
wl_side,P_val,-0.27988517663218276,0.0
wl_side,Q_val,-0.08073880697376619,0.08607
R_val,RR_r_0/RR_r_1,-0.05188518312695558,0.27046
R_val,P_val,0.12889773918151012,0.00601
R_val,Q_val,0.16497245273726974,0.00042
RR_r_0/RR_r_1,P_val,-0.14067316316280942,0.00269
RR_r_0/RR_r_1,Q_val,-0.08963110011422507,0.05662
P_val,Q_val,0.7538828365154855,0.0
