"label","p_value","Variable","Normality"
0,3.86955649210159e-08,"RR_l_0","Ne norm."
1,9.45528094974439e-31,"RR_l_0","Ne norm."
2,8.34534480971267e-13,"RR_l_0","Ne norm."
0,1.70613375824373e-32,"RR_l_0.RR_l_1","Ne norm."
1,8.22018355948899e-25,"RR_l_0.RR_l_1","Ne norm."
2,1.73137535657432e-08,"RR_l_0.RR_l_1","Ne norm."
0,5.45910547554591e-10,"RR_l_1","Ne norm."
1,1.86554593370824e-32,"RR_l_1","Ne norm."
2,8.38461554414847e-15,"RR_l_1","Ne norm."
0,3.12386776826238e-32,"RR_l_1.RR_l_2","Ne norm."
1,4.06281649401369e-26,"RR_l_1.RR_l_2","Ne norm."
2,2.10849524904752e-13,"RR_l_1.RR_l_2","Ne norm."
0,3.4850865108249e-08,"RR_l_2","Ne norm."
1,1.30167002944899e-31,"RR_l_2","Ne norm."
2,1.03649690934751e-08,"RR_l_2","Ne norm."
0,6.48081723353732e-32,"RR_l_2.RR_l_3","Ne norm."
1,2.02300108626926e-24,"RR_l_2.RR_l_3","Ne norm."
2,2.0395595122579e-06,"RR_l_2.RR_l_3","Ne norm."
0,1.74594532398335e-08,"RR_l_3","Ne norm."
1,1.07399697544851e-30,"RR_l_3","Ne norm."
2,2.38077769334519e-17,"RR_l_3","Ne norm."
0,1.49352596359478e-32,"RR_l_3.RR_l_4","Ne norm."
1,1.51584597796285e-23,"RR_l_3.RR_l_4","Ne norm."
2,1.03000114759305e-13,"RR_l_3.RR_l_4","Ne norm."
0,NA,"RR_r_0",NA
1,NA,"RR_r_0",NA
2,NA,"RR_r_0",NA
0,NA,"RR_r_0.RR_r_1",NA
1,NA,"RR_r_0.RR_r_1",NA
2,NA,"RR_r_0.RR_r_1",NA
0,5.18788958892481e-08,"RR_r_1","Ne norm."
1,1.48258252053813e-30,"RR_r_1","Ne norm."
2,5.20131692279658e-22,"RR_r_1","Ne norm."
0,1.88939105610799e-32,"RR_r_1.RR_r_2","Ne norm."
1,5.35215599406474e-24,"RR_r_1.RR_r_2","Ne norm."
2,2.94053612791579e-19,"RR_r_1.RR_r_2","Ne norm."
0,1.8208667460605e-12,"RR_r_2","Ne norm."
1,4.47964736385901e-34,"RR_r_2","Ne norm."
2,5.25502859722886e-09,"RR_r_2","Ne norm."
0,3.49250024246603e-34,"RR_r_2.RR_r_3","Ne norm."
1,1.69769255993067e-25,"RR_r_2.RR_r_3","Ne norm."
2,1.32761029756012e-06,"RR_r_2.RR_r_3","Ne norm."
0,3.8026093075777e-09,"RR_r_3","Ne norm."
1,1.0919559348597e-31,"RR_r_3","Ne norm."
2,8.06393336972602e-17,"RR_r_3","Ne norm."
0,1.88735968282064e-33,"RR_r_3.RR_r_4","Ne norm."
1,1.96159769246986e-23,"RR_r_3.RR_r_4","Ne norm."
2,7.20723764005117e-17,"RR_r_3.RR_r_4","Ne norm."
0,2.28811690825785e-09,"seq_size","Ne norm."
1,1.65827051876358e-29,"seq_size","Ne norm."
2,1.31118757095089e-10,"seq_size","Ne norm."
0,4.51095020589599e-19,"signal_mean","Ne norm."
1,1.17144114780702e-21,"signal_mean","Ne norm."
2,2.60785294171109e-18,"signal_mean","Ne norm."
0,3.38170493642297e-21,"signal_std","Ne norm."
1,5.69506231391262e-31,"signal_std","Ne norm."
2,3.11957631503883e-12,"signal_std","Ne norm."
0,2.71673253744117e-15,"wl_side","Ne norm."
1,6.21495153411339e-27,"wl_side","Ne norm."
2,5.95099802814772e-24,"wl_side","Ne norm."
0,1.86164130222941e-09,"wr_side","Ne norm."
1,3.31315245131115e-31,"wr_side","Ne norm."
2,5.07359871418258e-05,"wr_side","Ne norm."
0,4.03779764913038e-31,"P_val","Ne norm."
1,7.70804255499326e-26,"P_val","Ne norm."
2,7.48750026263478e-06,"P_val","Ne norm."
0,1.49208804985993e-11,"Q_val","Ne norm."
1,7.44136896420992e-20,"Q_val","Ne norm."
2,1.32738310464277e-19,"Q_val","Ne norm."
0,1.61923181901762e-08,"R_val","Ne norm."
1,3.53145982028115e-24,"R_val","Ne norm."
2,2.17832198427281e-15,"R_val","Ne norm."
0,1.08228265732356e-20,"S_val","Ne norm."
1,3.79242650080511e-20,"S_val","Ne norm."
2,2.3836433630335e-10,"S_val","Ne norm."
0,1.16404803694225e-11,"T_val","Ne norm."
1,1.343171401677e-16,"T_val","Ne norm."
2,1.36958019892708e-17,"T_val","Ne norm."
0,3.12772704603416e-24,"P_pos","Ne norm."
1,2.32691421334423e-09,"P_pos","Ne norm."
2,7.53914344947804e-11,"P_pos","Ne norm."
0,4.94115911448127e-34,"Q_pos","Ne norm."
1,2.60754174062723e-23,"Q_pos","Ne norm."
2,7.34704516253699e-11,"Q_pos","Ne norm."
0,6.88703660156296e-36,"R_pos","Ne norm."
1,7.3374064321898e-25,"R_pos","Ne norm."
2,1.21576155510042e-13,"R_pos","Ne norm."
0,1.91398172825649e-29,"S_pos","Ne norm."
1,3.15713348533747e-24,"S_pos","Ne norm."
2,4.81410851403747e-14,"S_pos","Ne norm."
0,3.56059915176561e-17,"T_pos","Ne norm."
1,2.15957680512125e-25,"T_pos","Ne norm."
2,9.7309809109556e-08,"T_pos","Ne norm."
